Wavelength,S1c / R1c
nm,CPS / MicroAmps
350,86.2468826198139
351,90.3238593463662
352,93.1563448152005
353,71.5025727830161
354,84.9948635165019
355,86.7673573819086
356,82.6144856090906
357,77.3526020306244
358,86.0264637248281
359,86.8259863012193
360,99.3082439714761
361,104.327145780357
362,133.110976901821
363,154.484965227667
364,165.729638198034
365,195.493604049181
366,250.199281276377
367,276.651035757617
368,314.073936377867
369,325.619066962945
370,372.832375531323
371,425.079620883964
372,442.100878154109
373,499.166700241439
374,521.614704351642
375,612.025393327661
376,658.184855460368
377,728.130317803848
378,823.407897823456
379,1003.88416529085
380,1371.17700455012
381,2032.88347075541
382,3037.40026625381
383,4419.23852826632
384,5735.84608730102
385,6416.3213272237
386,6296.75679746361
387,5714.14430674128
388,4847.91720399032
389,4168.16728961526
390,3623.46598461302
391,3281.13439257064
392,3058.68239401568
393,2880.53793063189
394,2681.42731286192
395,2532.84532805973
396,2360.84246347788
397,2207.16425507273
398,2137.46211345751
399,2154.61489254209
400,2213.11322526556
401,2470.81999179081
402,2840.56914536573
403,3178.76457820978
404,3539.92201531849
405,3778.29750931405
406,3768.61436756944
407,3638.77774015426
408,3543.12957179957
409,3370.81315923429
410,3175.76734722793
411,3010.34172086845
412,2864.61690334762
413,2715.17926897465
414,2613.91858891624
415,2497.28008360114
416,2483.48666934403
417,2410.74298395624
418,2456.1917927163
419,2530.72971209425
420,2592.07603495441
421,2762.58257545529
422,2862.17123974194
423,3054.21313016719
424,3335.95274850678
425,3664.43799210024
426,3945.18806864006
427,4276.1252593728
428,4601.95787770887
429,4964.68110415388
430,5338.14089709263
431,5711.31969109102
432,6150.03434044953
433,6569.50062953729
434,7058.04947635094
435,7617.79450330467
436,8088.80698964733
437,8626.49848892191
438,9254.76949907849
439,9734.639345367
440,10531.2284306865
441,11309.082632923
442,12011.2734906648
443,12700.264786031
444,13507.9979908128
445,14304.2570345708
446,15154.0113017361
447,16089.377461722
448,16989.2044789121
449,17886.9866923168
450,18695.4932646315
451,19602.6088315009
452,20529.8840297378
453,21371.9135506223
454,22338.0918858262
455,23183.9416604723
456,24085.4167532691
457,24986.060101754
458,25665.2532625942
459,26404.8228304612
460,27387.247043881
461,28018.5483643963
462,28713.3802273108
463,29117.1945358841
464,30021.0148971536
465,30526.0884640722
466,31113.8405411062
467,31449.0272327512
468,32018.2549742718
469,32438.4947223413
470,32707.0885214397
471,33052.2472606348
472,33396.6237483907
473,33732.6546226221
474,33682.506741653
475,33807.2684386301
476,33936.2141828254
477,34175.527041433
478,34018.2026227021
479,33939.3685770479
480,33929.6549633656
481,33787.0970948672
482,33651.6313091099
483,33607.6848867755
484,33265.4277766624
485,32803.1607596152
486,32766.3330521909
487,32439.2277242992
488,32353.5822379261
489,31969.7671647458
490,31721.0184822469
491,31340.9755099768
492,30871.5282235792
493,30491.072009586
494,30089.4474321738
495,29607.7974735322
496,29154.1297675015
497,29029.4479167295
498,28206.9621006666
499,27851.7287275403
500,27288.6415142434
501,27022.4311179967
502,26254.426935287
503,25960.7612044173
504,25252.1049723929
505,24880.2539907017
506,24220.6615216706
507,23627.1769772736
508,23213.7237190061
509,22578.2864764196
510,22368.5875795351
511,21616.3841834073
512,21135.5966310189
513,20688.9179398508
514,20218.7568463769
515,19617.5151788898
516,18990.8801090431
517,18535.9158226442
518,18129.1702693425
519,17546.9249952119
520,17031.2014614035
521,16703.2206771258
522,16092.8232365685
523,15752.872416986
524,15248.9267395913
525,14870.9737380034
526,14363.1003241036
527,13964.9501367056
528,13624.5143230647
529,13125.7841610461
530,12726.0754702967
531,12369.2166953423
532,11978.3257650851
533,11534.6791459864
534,11300.5310937498
535,10859.6692959756
536,10530.2837200521
537,10188.2198106392
538,9897.1369840924
539,9581.21397338714
540,9156.74108517786
541,8919.88458152952
542,8620.08434658996
543,8313.13300492524
544,8063.65326376011
545,7746.07873902405
546,7602.0510260189
547,7310.28205949098
548,7017.07826652024
549,6780.86316981776
550,6565.06816127844
551,6292.62586764542
552,6088.15977164527
553,5852.59568549832
554,5708.29645489276
555,5484.67130639938
556,5250.41005188125
557,5048.85114094103
558,4910.86676476243
559,4647.4700765827
560,4580.42503168471
561,4325.24064099882
562,4152.0427402555
563,3983.86128072404
564,3810.13073398129
565,3719.46463132834
566,3595.34699781535
567,3454.59454650874
568,3330.41672196544
569,3149.33683743871
570,3062.57329018339
571,2932.20887975861
